epithelial_cluster	cell_count	include_in_malignancy	contamination_status	epithelial_subtype	state_label	subtype_confidence	ambient_median	ambient_p90	top_marker_count_retention	DoubletFinder_doublet_fraction	dominant_source	key_evidence	review_reason	review_status	approval_date	approval_basis
1	4206	TRUE	retain_raw_main_ambient_high_tail	Chief_epithelial	ribosomal_high_low_information	medium	0.004	0.682	0.969	0.025	source_c3_77.6pct	广义上皮marker保留；chief panel在raw/corrected均占优；跨39个样本；仅污染高值长尾	保留进入F1.6；亚型按chief-like暂定，后续CNV判定不依赖该亚型本身	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
2	3191	TRUE	no_major_non_epithelial_conflict	Pit_mucous_epithelial	chromatin_or_stress_like	medium	0.010	0.269	0.961	0.015	source_c9_82.5pct	MUC5AC/TFF1与原pit-like来源支持；无成套非上皮marker	保留；状态与谱系分开记录	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
3	2733	TRUE	no_major_non_epithelial_conflict	Intestinal_like_epithelial	CEACAM_S100P_high	high	0.002	0.056	0.995	0.061	source_c3_94.0pct	CEACAM5/CEACAM6/S100P/TSPAN8/KRT19成套表达；广义上皮marker清楚	保留；intestinal-like不能单独证明恶性	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
4	2180	TRUE	no_major_non_epithelial_conflict	Intestinal_like_epithelial	cycling	medium	0.002	0.045	0.994	0.066	source_c3_83.1pct	UBE2C/TOP2A/MKI67等增殖程序强；仍保留上皮marker且跨39个样本	保留；记为cycling epithelial，不以细胞周期判定恶性	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
5	2017	TRUE	no_major_non_epithelial_conflict	Pit_mucous_epithelial	pit_mucous	high	0.006	0.153	0.981	0.013	source_c9_72.6pct	MUC5AC/TFF1/GKN1/GKN2/CAPN8成套表达	保留	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
6	1607	TRUE	no_major_non_epithelial_conflict	Chief_epithelial	metallothionein_high	high	0.003	0.239	0.986	0.037	source_c19_84.4pct	LIPF/PGA3/PGA4/PGA5/PGC与MT1G/MT1H/MT2A并存	保留；金属硫蛋白高表达作为状态，不解释为线粒体编码基因升高	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
7	1607	TRUE	no_major_non_epithelial_conflict	Mucous_neck_epithelial	mucous_neck_chief_transition	medium	0.003	0.411	0.939	0.054	source_c3_52.7pct_and_c16_38.0pct	MUC6显著并伴部分chief程序；raw/corrected方向一致	保留；允许neck-chief过渡解释	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
8	1437	TRUE	no_major_non_epithelial_conflict	Intestinal_like_epithelial	tumor_or_regenerative_like	medium	0.002	0.050	0.993	0.067	source_c3_85.9pct	S100P/AKR1B10/GPRC5A/CLDN18及广义上皮marker；无成套非上皮冲突	保留；肿瘤样转录不能替代CNV证据	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
9	1396	TRUE	no_major_non_epithelial_conflict	Enteroendocrine_epithelial	enteroendocrine	high	0.004	0.251	0.991	0.052	source_c21_76.3pct	CHGA/CHGB/GHRL/NEUROD1/INSM1成套表达	保留	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
10	1190	TRUE	no_major_non_epithelial_conflict	Chief_epithelial	immediate_early_stress	medium	0.005	0.374	0.940	0.049	mixed_source_c9_49.0pct	EGR1/FOS/JUN/ATF3应激强；chief marker在raw/corrected均保留	保留；亚型置信中等，主要记录为应激状态	researcher_approved	2026-07-30	explicit_user_approval_in_codex_thread
