item_id	topic	original_attribution_or_tool_basis	source_check_result	action_taken	source_boundary
1	F1_QC_isOutlier	OSCA/scater/scuttle isOutlier with nmads=3 supports per-sample outlier flagging	accepted_modified	F1.2 updated to per-sample isOutlier(nmads=3), with project rule that deletion usually requires >=2 independent QC flags	isOutlier is a tool-supported QC flagging method; >=2 flags and nFeature>=100 are project operational thresholds
1	F1_doublet_scDblFinder	Xi & Li Cell Systems 2021 was cited as showing scDblFinder overall best	rejected_attribution_modified	F1.2 changed to scDblFinder as project primary based on scDblFinder method/docs; DoubletFinder sensitivity only; explicit note that Xi & Li cannot support scDblFinder overall-best claim	Xi & Li benchmark emphasizes DoubletFinder detection accuracy; scDblFinder choice is tool-supported/project-registered, not benchmark-best
2	F1_annotation_confidence	marker thresholds and confidence table are project rules	accepted_as_operational	F1.4 updated with pct.1, pct.1-pct.2, avg_log2FC and BH thresholds plus high/medium/low decision table	Thresholds are not literature consensus; they are reproducible project rules
3	F1_integration	Pareto weakest correction and malignant sample separation interpretation supported by Harmony/scIB concepts	accepted_modified	F1.3 updated to compare unintegrated PCA, default Harmony and conservative Harmony; malignant epithelial separation evaluated separately	Method papers support integration/batch-biology tradeoff; exact Pareto rule is project operational
4	F2_1_signature	SRA reprocessing with STAR/RSEM/tximport/DESeq2 supported by GSE235046/GEO/original pipeline and tximport docs	accepted_modified	F0/F2.1 updated to SRA/SRP444325 reprocessing as primary, GEO count-like table as limma-voom conditional fallback	Do not claim original paper provides ready-made single-cell signature; project reconstructs signature
4	F2_1_three_contrast	Cell/GSE235046 differential expression standard supports FC>2 and BH<0.05	accepted_modified	F2.1 updated to use three LPS+CS comparisons as main signature rule; removed Tier A/B and 20-150 caps	Interaction and Torin rescue are annotation/explanation fields, not main membership rules
5	F2_2_scoring_method	AUCell/SCENIC docs support rank-AUC scoring and aucMaxRank usage, but the Supplyment6 AUCell-primary decision was superseded by the later Supplyment8 UCell-primary revision	superseded_by_supplyment8	F2.2 current plan registers UCell as the sole primary single-cell MLMOD score with maxRank=1500; AUCell remains a key rank-based sensitivity method with aucMaxRank=ceiling(0.05*nGenes)	Sensitivity methods test robustness only; no averaging or voting; do not read this Supplyment6 audit row as current AUCell-primary authorization
6	F2_3_high_group	Squair pseudobulk warning supports avoiding cell-level pseudo-replication; mixture/bootstrap thresholds are project rules	accepted_as_operational	F2.3 updated to continuous score as primary and patient-balanced bootstrap before natural subgroup claim	Delta BIC and >=80% bootstrap rules are operational thresholds, not universal literature standards
7	F2_3_specificity	No source supports rho-only automatic distinctness	accepted_modified	F2.3 specificity changed to overlap-removed scores, within-patient/sample models, matched random null and residual analysis	R2 0.8 with 0.7/0.9 sensitivity is project threshold
8	F3_2_root	Monocle3 docs require user/root-cell choice; trajectory benchmarks support method comparison	accepted_modified	F3.2 root selection now masks MLMOD, uses early/normal-like and low-CNV evidence, and requires Monocle3/Slingshot agreement for direction	Root thresholds for sample coverage/dominance are project rules; cross-sectional data cannot prove real temporal evolution
9	F3_3_SCENIC	pySCENIC FAQ supports repeated runs and >80% consensus; input format is version-dependent	accepted_modified	F3.3 updated to avoid dense CSV as full default, require preflight of loom/sparse/CLI support, and run >=10 seeds with >=80% recurrence	Specific gene/TF filtering thresholds are project/protocol-inspired and must be recorded as operational, not official universal defaults
10	F4_LR_pseudobulk	Squair supports pseudobulk principle; edgeR docs support QL and glmTreat	accepted_modified	F4.5 updated to edgeR QL paired design with glmTreat(log2(1.5)), dream/limma-voom trigger before LR results if >30% patients one-sided	8 pairs, 30% trigger and partner-subunit thresholds are project operational rules
11	F5_core_gene_selection	No literature basis for weighted 35/20/20/15/10 scoring	accepted_modified	F5 retained hierarchical gate approach and removed candidate-count target language that encouraged artificial filtering	Tier definitions are project evidence-grading rules
12	F6_BayesPrism	BayesPrism supports reference-based deconvolution with cell-type/state labels; exact label design is project-specific	accepted_modified	F6 updated to explicit cell.type.labels/cell.state.labels, >=1000 simulated pseudobulk, LOPO and MuSiC comparison	Malignant patient x cluster state labels are project design, not quoted as mandatory BayesPrism rule
12	F6_immune_signatures	Ayers, Rooney and TIDE original sources define specific signatures/models	accepted_modified	F6 updated to separate original Ayers GEP, Rooney CYT and TIDE model from project descriptive z-score modules	Project modules cannot be called original TIDE/IPS-like models
13	F7_WGCNA	WGCNA FAQ and package guidance support VST-like input, signed/bicor preferences and soft-threshold logic	accepted_modified	F7.5 updated with signed network, bicor, maxPOutliers=0.05, minModuleSize=30, mergeCutHeight=0.25 and soft power rule	WGCNA remains co-expression, not causal regulation
14	F8_CellOracle	CellOracle supports GRN-based in silico regulatory perturbation; paper/source is Nature 2023, not Nature Communications 2023	accepted_modified	F8.3 updated to TF/regulator or clear GRN-position eligibility, >=5 patients, >=10% target-cell detection, expression-matched negative controls	CellOracle output is model-supported hypothesis only, not experimental validation
