dependency_id	source_F	source_output_or_decision	consuming_F	consuming_step	required_or_optional	planned_closure_status	file_name_consistency_status	approval_or_gate_boundary	circularity_or_boundary_note	action_needed_in_1b_or_before_execution
D001	F0	sample_info.tsv	F1	F1.1/F1.2	required	closed_in_plan	name_defined_in_F0_and_F1	F0_scRNA_F1_gate_must_pass	Defines sample_id, patient_id and group_analysis; not a biological result.	F0 formal script must generate sample_info.tsv and F1 input audit must verify required fields.
D002	F0	data_audit.tsv	F1	F1.1/F1.2	required	closed_in_plan	name_defined_in_F0_and_F1	F0_scRNA_F1_gate_must_pass	Confirms author-filtered raw count CSV suitability and flags normalization artifact risk.	F0 formal audit must reproduce precheck and set include_in_f1/audit_decision.
D003	F0	F0_file_manifest.tsv	F1-F8	input manifest/checksum checks	required_for_traceability	closed_in_plan	name_defined_in_F0_global_output	F0 approval required	Manifest supports evidence traceability, not biological interpretation.	F0 must include artifact_class, publication_destination and review_priority fields.
D004	F0	F0_data_readiness_by_F_section.tsv	F2-F8	section-specific data readiness reference	optional_but_expected	closed_in_plan	name_defined_in_F0.8	F0 project inventory status recorded	Does not authorize downstream use; each F section still needs specialized audit.	F0 must update SRP444325/GSE239676 status after completed downloads.
D005	F0	F0_method_prior_decision.tsv	F1-F8	method boundary reference	optional_but_expected	closed_in_plan	name_defined_in_F0.8	F0 project inventory status recorded	Method priors are working constraints, not proof that data are eligible.	Generate during formal F0; review against current main plan.
D006	F1	03_all_cells_integrated_annotated.rds	F2	F2.1/F2.2 all-cell candidate class screening	required	closed_in_plan	name_referenced_consistently	F1_Gate3 approval required	F2 all-cell screening must not bypass F1 QC/annotation.	Ensure F1 manifest records raw counts/data layer and cell_id_final.
D007	F1	cell_metadata_final.tsv	F2/F8	F2 scoring; F8 object consistency	required	closed_in_plan	name_referenced_in_F2_and_F8	F1 final approval required	Metadata carries labels and covariates; not an independent validation source.	Confirm F1 output list includes final cell metadata or add during F1 plan if missing.
D008	F1	celltype_usage_plan.tsv	F2/F4	F2 candidate screening; F4 communication grouping	required_for_F2	closed_in_plan	name_referenced_consistently	F1_Gate3 approval required	Controls which cell groups can enter downstream; prevents ad hoc metadata filtering.	F1 Gate3 script must produce include/exclude booleans for downstream.
D009	F1	06a_malignant_epithelial_main.rds	F2-F8	malignant epithelial main object	conditional_required_for_malignant_epithelial_route	closed_in_plan	fixed_name_confirmed	F1_Gate5 approval required	Cannot be created by F2 from ad hoc metadata; prevents route leakage.	Formal F1 must output exactly this file if malignant epithelial route remains viable.
D010	F1	06b_malignant_epithelial_high_confidence_only.rds	F2-F8	high-confidence sensitivity object	conditional_sensitivity	closed_in_plan	fixed_name_confirmed	F1_Gate5 approval required	Sensitivity object, not a replacement for main object unless approved.	Formal F1 must record relationship to 06a in object manifest.
D011	F2	F2_candidate_cell_class_decision.tsv	F2-F8	route approval and candidate_cell_scope	required	closed_in_plan	name_referenced_consistently	F2_Gate2 hard pause	Core anti-bias boundary: if signal is not malignant epithelial, downstream route must be rewritten.	1b should ensure every F3-F8 input audit checks candidate_cell_scope and route_status.
D012	F2	MLMOD_human_scoring_signature.tsv	F2-F8	scoring/signature reference	required	closed_in_plan	name_referenced_consistently	F2_Gate1 approval required	Signature frozen before clinical validation to prevent p-hacking.	F2.1 execution plan must freeze signature before F2.4/bulk validation.
D013	F2	MLMOD_single_cell_scores.tsv	F2/F3/F8	score-level analysis and handoff	required_after_F2_Gate2	closed_in_plan	name_defined_in_F2	F2_Gate2 approval required	UCell_MLMOD_score/MLMOD_Score is the primary continuous variable; sensitivity scores do not vote.	Formal F2 must verify MLMOD_Score equals UCell_MLMOD_score.
D014	F2	MLMOD_high_cell_assignment.tsv	F3-F8	state labels and consistency checks	required_after_F2_Gate3	closed_in_plan	name_referenced_consistently	F2_Gate3 approval required	High/low labels are operational; continuous score remains primary.	F2 must preserve cell_id_final and threshold metadata for downstream consistency checks.
D015	F2	08_candidate_cell_scope_MLMOD_labeled.rds	F3/F4/F8	main labeled candidate object	required_after_F2_Gate3	closed_in_plan	name_referenced_consistently	F2_Gate3 approval required	Candidate scope controls interpretation; 08_malignant_epithelial_MLMOD_labeled.rds is only a compatibility alias if scope is malignant_epithelial_main.	Object manifest must record alias/copy/soft-link relationship.
D016	F2	F2_gate4_clinical_validation_report.md	F3-F8	clinical validation status and interpretation level	required	closed_in_plan	name_referenced_consistently	F2_Gate4 approval required	F2-Gate4 constrains the language ceiling for F3-F8.	Formal F2.4 must output clinical_validation_status and interpretation_level fields.
D017	F3	F3_ORA_results.tsv; F3_GSEA_results.tsv; F3_pathway_score_by_sample.tsv	F5/F8	functional and pathway support	optional_conditional	closed_in_plan	names_defined_in_F3	F3_Gate1 approval required	Functional enrichment supports mechanism interpretation; cannot validate MLMOD definition by itself.	No action before F3; downstream must mark not_available if F3 not run.
D018	F3	F3_SCENIC_candidate_TF_prioritization.tsv	F5/F7/F8	TF candidate evidence	optional_conditional	closed_in_plan	name_defined_in_F3	F3_Gate3b approval required	SCENIC is regulatory hypothesis evidence, not causal validation.	If SCENIC fails, F5-F8 must use approved DE-based TF fallback or mark not_evaluable.
D019	F4	F4_final_candidate_communication_axes.tsv	F5/F8	communication candidate support	optional_conditional	closed_in_plan	name_defined_in_F4	F4 gate approval required	F4 is not a hard dependency for F5; sample-aware LR evidence must dominate CellChat.	Downstream must not treat CellChat-only signal as independent proof.
D020	F5	F5_candidate_gene_pool.tsv	F5/F6/F7/F8	frozen candidate gene pool	required_for_F5_and_downstream	closed_in_plan	name_defined_in_F5	F5 Gate1 candidate pool freeze approval	Prevents adding genes after seeing bulk/immune/multiomics results.	F5 plan must output source and exclusion flags for every candidate.
D021	F5	F5_integrated_gene_scoring.tsv	F6/F7/F8	evidence tier and allowed flags	required	closed_in_plan	name_defined_in_F5	F5 gate approval required	Allowed flags drive downstream eligibility; evidence tiers do not erase F2-Gate4 limitations.	Ensure allowed_for_F6, allowed_for_F7 and allowed_for_F8 are separate booleans.
D022	F5	F5_core_gene_selection.tsv	F6/F7/F8	core genes and handoff notes	required	closed_in_plan	name_referenced_consistently	F5 gate approval required	F6-F8 cannot substitute unapproved genes if no gene qualifies.	F5 formal output must include interpretation_level and required_validation_before_claim.
D023	F6	F6_final_claim_control_table.tsv	F7/F8	immune claim boundary	optional_conditional	closed_in_plan	name_defined_in_F6	F6 gate approval required	F6 associations are not causal or ICB validation unless true ICB dataset supports them.	F7/F8 should read if present; otherwise mark F6_claim_limit not_available.
D024	F7	F7_final_claim_control_table.tsv	F8	multiomics claim boundary	optional_conditional	closed_in_plan	name_defined_in_F7	F7 gate approval required	Genomic/epigenomic associations remain mechanism hypotheses unless independently validated.	F8 should inherit F7 limits if present, but F7 failure does not automatically block F8.
D025	F8	F8_final_claim_control_table.tsv	manuscript_claim_matrix	final single-gene claim boundary	required_for_later_writing	closed_in_plan	name_defined_in_F8	F8 gate approval required	Final claim language must obey F2/F5/F6/F7/F8 cumulative boundaries.	Not needed before execution; include in later manuscript evidence matrix.
D026	cross_section	candidate_cell_scope branch contract	F3-F8	non-malignant candidate route	conditional_required_if_F2_refutes_malignant_epithelial	closed_as_pause_and_rewrite_rule	no_fixed_file_until_triggered	F2_candidate_cell_class_decision approval required	Current F3-F8 malignant epithelial route is not valid if F2 selects another cell class.	1b should flag this as planned conditional branch, not a missing current file.
D027	cross_section	output_file_manifest.tsv	F1-F8	per-section output manifest	required	closed_in_plan	pattern_consistent	F gate approval required	Manifest records artifact class/publication destination/review priority, not evidence strength.	Each execution plan must include manifest schema before running.
D028	cross_section	counterfactual_premise_check.tsv	F1-F8	per-gate premise audit	required	closed_in_plan	pattern_consistent	F gate approval required	Counterfactual checks prevent running a precise workflow on a false premise.	Each gate report must summarize the corresponding premise check.
