gate_item	required_status	observed_status	pass_fail	blocking_level	evidence_file	note
project_audit_scaffold	project structure marker and append-only F0 analysis log exist	structure=exists; log=exists	PASS	blocking	data/metadata/project_structure_ready.txt; logs/F0_setup/analysis_log.md	
archive_and_processed_input_manifest	archive is readable as exactly 40 processed csv.gz members, each with file_size and uppercase SHA256	40 rows; empty_sha=0	PASS	blocking	data/metadata/processed_input_manifest.tsv	
sample_info	40 rows; no Unclear group; manifest/GEO-title sample IDs match	40 rows; unclear=0; sample_id_mismatch=0	PASS	blocking	data/metadata/sample_info.tsv	
data_audit	40 rows; gene-by-cell orientation is confirmed; included samples pass numeric/distribution/mapping checks; one min.cells=3 QC space and the fixed rule are evaluable; sample1 frozen regression passes	40 rows; included=40; pause=0; pilot=pass	PASS	blocking	data/metadata/data_audit.tsv	
precheck_comparison	formal data_audit agrees with preregistered key fields	0 mismatching sample(s)	PASS	blocking	data/metadata/data_audit.tsv; results/F0_audit/gse183904_csv_structure_precheck.tsv	Must pause on any mismatch.
author_processing_provenance	all matrix-relevant stages sourced; author report/F0 verification/inference/unknown separated; unknowns mapped to downstream action	20 GSE183904 rows; missing_stages=none; doublet_status=reported_in_original_paper; fixed_QC_recalculation=F0_fixed_QC_recalculation_pass_all_samples; working_feature_recalculation=F0_working_feature_space_recalculation_pass_all_samples; public_vs_paper_cells=158641_vs_152423	PASS_WITH_NOTED_ISSUES	blocking	docs/source_verification/GSE183904_processing_history_source_audit.tsv; data/metadata/F0_author_processing_audit.tsv	6 unresolved or unavailable provenance row(s); unknown history is allowed only when explicit and linked to a conservative F1 action.
fixed_QC_rule_recalculation	all 40 samples have an evaluable fixed QC mask; sample1 reproduces the frozen regression	status=F0_fixed_QC_recalculation_pass_all_samples; source_pass=158608; final_pass=153320; final_fail=5321; pilot=pass	PASS	blocking	data/metadata/data_audit.tsv; data/metadata/F0_author_processing_audit.tsv	Cell counts are expected to differ by sample; only non-evaluable calculation or pilot disagreement blocks F0.
working_feature_space_recalculation	all 40 samples have a nonempty per-sample min.cells=3 QC working feature space	status=F0_working_feature_space_recalculation_pass_all_samples; working_features=12982-21683; archived_sample_gene_rows_below_3=320543	PASS	blocking	data/metadata/data_audit.tsv; data/metadata/F0_author_processing_audit.tsv	Low-detection archived rows are preserved and are not classified as an author-processing mismatch.
marker_panel	panel exists; content/evidence references audited; issues only reported	exists; issues=0	PASS	nonblocking	data/metadata/cell_type_marker_panel.tsv; results/F0_audit/marker_panel_issue_report.tsv (conditional)	F0 never modifies the marker panel.
required_F0_contract_tables	all inventory, readiness, method, decision and exclusion tables exist; every F0 script and F0 environment lock has an uppercase SHA256 in F0_file_manifest.tsv	present=9/9; missing=none; script_checksum_failures=none; environment_lock_checksum_failures=none	PASS	blocking	data/metadata/F0_dataset_inventory.tsv; data/metadata/F0_file_manifest.tsv; data/metadata/F0_metadata_field_inventory.tsv; data/metadata/F0_author_processing_audit.tsv; data/metadata/F0_data_readiness_by_F_section.tsv; data/metadata/F0_external_resource_inventory.tsv; data/metadata/F0_method_prior_decision.tsv; data/metadata/decision_evidence_log.tsv; data/metadata/excluded_samples.tsv	
