history_record_id	stage_order	dataset_id	processing_step	processing_scope	relation_to_public_matrix	author_reported_status	method_or_threshold_if_reported	source_reference_or_file	evidence_location	evidence_basis	source_accessed_date	confidence_level	matrix_content_effect	unresolved_detail	implication_for_downstream_plan	requires_special_handling
H001	10	GSE183904	sample_acquisition	biospecimen_preparation	definitely_before_public_matrix	reported	Surgical resection or endoscopic biopsy; matched normal gastric tissue was sampled several centimeters from tumor; peritoneal metastasis was sampled during diagnostic laparoscopy.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Sample Acquisition and Tissue Processing	original_paper	2026-07-16	high	Defines tissue source and sampling context.	Exact ischemia time and time from collection to dissociation were not reported.	Retain verified tissue and patient grouping and inspect sample-specific stress effects.	Do not infer pairing beyond GEO-to-manuscript patient mapping.
H002	20	GSE183904	tissue_storage	biospecimen_preparation	definitely_before_public_matrix	reported	Tissues were placed in MACS tissue storage buffer immediately after collection and kept on ice.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Sample Acquisition and Tissue Processing	original_paper	2026-07-16	high	Cold storage can influence stress and viability signals.	Storage duration was not reported.	Inspect dissociation and stress signatures by sample during F1 cluster QC.	Do not interpret stress-dominant clusters as new biology without sample-aware review.
H003	30	GSE183904	tissue_dissociation	biospecimen_preparation	definitely_before_public_matrix	reported	Human Tumor Dissociation Kit plus GentleMACS Octodissociator 37_h_TDK_2; 70-um straining; 5-minute RBC lysis; PBS neutralization; two PBS plus 1% BSA washes; final 40-um straining.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Sample Acquisition and Tissue Processing	original_paper	2026-07-16	high	Can create lineage-dependent recovery and dissociation-stress bias.	No sample-specific dissociation yield or stress measurement was reported.	F1 must inspect FOS/JUN/HSP stress, lineage recovery, hemoglobin signal and sample dominance.	Do not treat observed cell proportions as unbiased tissue composition.
H004	40	GSE183904	viable_cell_preparation	biospecimen_preparation	definitely_before_public_matrix	reported	Live cells were counted manually with 1:1 trypan blue and concentrated to 800-1200 live cells/uL.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Sample Acquisition and Tissue Processing	original_paper	2026-07-16	high	Enriches the input for viable cells before droplet capture.	No FACS viability gate, dead-cell removal kit, viability percentage or excluded-cell list was reported.	Use mitochondrial, hemoglobin and low-feature metrics as residual quality evidence rather than assuming perfect viability selection.	Unknown wet-lab exclusions must remain explicit.
H005	50	GSE183904	library_preparation	library_and_sequencing	definitely_before_public_matrix	reported	Samples from each patient were processed in one library-preparation batch using the 10x Chromium Single-Cell 5-prime Library and Gel Bead Kit.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Single-Cell Sequencing	original_paper	2026-07-16	high	Defines droplet-based 5-prime chemistry and a patient-linked batch structure.	Exact kit revision, chemistry release, target loading and recovered-cell target were not reported.	Treat sample_id or patient_id as the operative batch unit unless stronger metadata become available.	Expected doublet rate cannot be reconstructed from loading information.
H006	60	GSE183904	sequencing	library_and_sequencing	definitely_before_public_matrix	reported	Indexed libraries were quantified with a Kapa library kit and sequenced on Illumina HiSeq4000.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Single-Cell Sequencing	original_paper	2026-07-16	high	Defines the sequencing platform upstream of FASTQ generation.	Read structure, read length, per-sample depth and sequencing QC were not reported in the reviewed sources.	Do not claim read-level QC or depth harmonization from the public matrices.	FASTQ-level technical covariates are not evaluable.
H007	70	GSE183904	count_generation	count_generation	reported_before_public_matrix	reported	Cell Ranger v3.0 aligned FASTQ reads to the hg38 reference transcriptome and generated per-sample single-cell feature counts.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/; data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	Original paper Methods and GEO Sample_data_processing	original_paper_and_GEO	2026-07-16	high	Produces the integer feature-by-cell counts supplied downstream.	Exact hg38 reference package release and Cell Ranger command-line parameters were not reported.	Use the public counts as author-generated counts; do not claim Cell Ranger reproduction.	Gene annotation and cell-calling uncertainty must be recorded.
H008	80	GSE183904	cell_calling	count_generation	export_boundary_unresolved	not_reported_in_reviewed_sources	Cell Ranger cell-calling inputs and thresholds, expected-cells or force-cells settings, chemistry override and filtered-versus-raw feature-matrix choice were not reported.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/; data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	Original paper Methods and GEO processing/availability fields	not_reported_after_source_review	2026-07-16	medium	Determines which droplets were called as cells before Seurat filtering.	No raw or empty-droplet matrix, Cell Ranger web summary or called-cell barcode list is public.	F1 can assess retained public cells only; true barcode knee, Cell Ranger cell calling and empty-droplet composition are not evaluable.	Record emptyDrops, SoupX and CellBender as not_evaluable_input_limited; absent droplets cannot be reconstructed.
H009	90	GSE183904	QC_filtering	matrix_content_filter	reported_before_public_matrix	reported	Seurat v3; each sample was considered for genes/features shared by at least 3 cells; retain cells with 500 or more and fewer than 6000 detected features; remove cells with mitochondrial percentage above 20.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/; data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	Original paper Bioinformatic QC section and GEO Sample_data_processing	original_paper_and_GEO	2026-07-16	high	Removes low-feature, high-feature and high-mitochondrial cells and filters the author's per-sample analysis feature space.	Per-step and per-sample removed-cell counts, barcode lists and exact feature-space calculation order were not reported.	F0 recomputes one per-sample min.cells=3 working feature space to measure fixed-QC effects; F1 uses the same feature-space definition for QC/object construction while preserving all 26,571 archived rows in the immutable input and applying method-specific coverage rules downstream.	Reported thresholds are a baseline, not permission to skip residual QC, permanently delete low-detection genes or assume the public feature rows equal the author analysis feature space.
H010	100	GSE183904	public_matrix_export	public_availability_boundary	public_matrix_itself	reported	GEO supplementary files are sample-wise matrices containing raw gene counts for every supplied gene and cell.	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	GEO Supplementary_files_format_and_content	GEO	2026-07-16	high	Defines the local project input as raw gene counts rather than normalized expression.	The exact export command and whether export occurred before or after DoubletFinder were not reported.	Preserve counts unchanged as the F1 raw-count layer and audit the export boundary separately.	Do not import author SCTransform or integrated values as if they were present in the CSV files.
H011	110	GSE183904	raw_FASTQ_or_empty_droplet_availability	public_availability_boundary	availability_boundary	raw_files_not_submitted	FASTQ and raw files were not submitted for patient-privacy reasons; no public SRA runs were found for PRJNA762312 in the current audit.	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz; https://www.ncbi.nlm.nih.gov/bioproject/PRJNA762312	GEO Series_overall_design and BioProject/SRA lookup	GEO_and_NCBI_lookup	2026-07-16	high	Prevents read-level reprocessing, barcode-knee/cell-calling assessment and empty-droplet background reconstruction.	BCL, FASTQ, BAM, raw feature-barcode matrices and Cell Ranger outputs are unavailable.	Use public called/retained-cell raw-count matrices for independent re-QC with explicit provenance limits.	No FASTQ/Cell Ranger reproduction claim; emptyDrops, SoupX and CellBender are not evaluable from current inputs.
H012	120	GSE183904	doublet_detection	matrix_content_filter	export_boundary_unresolved	reported_in_original_paper	DoubletFinder was used on gene-expression data and identified doublets were removed from the author's analysis data set.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Doublet Analysis and Figure 1 legend	original_paper	2026-07-16	high_for_method_medium_for_public_matrix_status	Removes predicted multiplets from the author's final analysis object.	DoubletFinder version, pN, pK, nExp, homotypic adjustment, per-sample versus merged execution, timing, counts and barcode list were not reported; public CSV doublet status is unresolved.	F1 must run preregistered per-sample scDblFinder and retain DoubletFinder only as sensitivity review.	Do not assume the public matrices are already doublet-clean or target the paper final cell count.
H013	130	GSE183904	ambient_RNA_correction	matrix_content_filter	export_boundary_unresolved	not_reported_in_reviewed_sources	No SoupX, DecontX, CellBender or other ambient-RNA correction was reported in the reviewed original-paper methods, GEO processing fields or official supplementary workbook.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/; data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz; https://aacr.figshare.com/collections/6549613	Original paper Methods, GEO processing fields and official supplementary workbook	not_reported_after_source_review	2026-07-16	medium	If absent, ambient transcripts may remain in retained-cell counts.	Absence of reporting does not prove correction was not performed; raw background droplets are unavailable.	F1 must estimate cross-lineage contamination and DecontX feasibility from retained cells.	Keep original counts; corrected counts require a separate layer and approval.
H014	140	GSE183904	normalization	author_downstream_analysis	author_downstream_analysis_not_in_public_raw_count_values	reported	SCTransform was run separately for each sample with mitochondrial RNA percentage regressed.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Bioinformatic QC, Normalization, Clustering, and Differential Gene Expression	original_paper	2026-07-16	high	Affected the author's normalized analysis object, not the integer values in the public raw-count CSV files.	Exact SCTransform version and full parameters were not reported.	Treat this only as author-analysis context; select F1 normalization from project goals and observed data.	Do not assume the public CSV files are SCTransformed or inherit author regression.
H015	150	GSE183904	batch_correction	author_downstream_analysis	author_downstream_analysis_not_in_public_raw_count_values	reported	An 18-sample high-cell-number reference spanning primary and peritoneal characteristics was used for anchor finding; remaining samples were integrated as queries with PrepSCTIntegration and FindIntegrationAnchors.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Bioinformatic QC, Normalization, Clustering, and Differential Gene Expression	original_paper	2026-07-16	high	Affected the author's integrated embedding and clustering, not the public raw-count values.	The identities of all 18 reference samples and complete integration parameters were not reported in the reviewed sources.	F1 must use the approved project integration plan and independently assess biological conservation and batch removal.	Author integration is reference context, not a preprocessing fact inherited by local counts.
H016	160	GSE183904	clustering_and_annotation	author_downstream_analysis	author_downstream_analysis_not_in_public_raw_count_values	reported	Integrated data were scaled, reduced by PCA/UMAP and clustered with SNN resolution 1; FindAllMarkers and literature markers were used for annotation, with a greater-than-25-percent expression rule for cluster markers.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	Methods: Bioinformatic QC, Normalization, Clustering, and Differential Gene Expression	original_paper	2026-07-16	high	Defines the author's final analysis object and labels but does not alter public raw-count values.	No public cell-level author cluster or annotation table is present in the current project inputs.	F1 must cluster and annotate independently and may compare author labels only if later supplied.	Do not treat author clusters as already embedded in the CSV matrices.
H017	170	GSE183904	author_code_and_cell_exclusion_trace	provenance_unknown	availability_boundary	not_located_in_reviewed_sources	No author analysis repository, executable pipeline, cell-level metadata, excluded-barcode list or stepwise per-sample cell-count table was located in the original article, GEO record or official supplementary data collection reviewed for F0.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183904; https://aacr.figshare.com/collections/6549613	Data availability sections and official supplementary collection	not_located_after_source_review	2026-07-16	medium	Prevents exact reconstruction of each author exclusion and the public export command.	Unreported material may exist outside the reviewed official sources.	Record all F1 exclusions de novo with barcodes, reasons and before/after counts.	Do not claim exact reproduction of the author's final object.
