cell_type	positive_markers	supporting_markers	negative_markers	minimum_rule	confidence	evidence_ids	note
Epithelial	EPCAM,KRT8,KRT18,KRT19,CDH1	NA	CD3D,MS4A1,COL1A1,PECAM1,VWF	Requires >=2 broad epithelial markers and no strong immune/stromal/endothelial marker conflict. Do not infer malignancy from epithelial markers alone.	high	CMR_001,CMR_002,CMR_003,CMR_004,CMR_005	Use for broad epithelial extraction before malignancy analysis.
Pit_mucous_epithelial	MUC5AC,TFF1	NA	CD3D,MS4A1,COL1A1,PECAM1	Subtype/state annotation within epithelial cells; requires epithelial background plus both pit/mucous markers when possible.	high	CMR_006,CMR_007	Do not use as broad epithelial or malignant marker.
Mucous_neck_epithelial	MUC6,TFF2	NA	CD3D,MS4A1,COL1A1,PECAM1	Subtype/state annotation within epithelial cells; requires epithelial background plus neck/mucous markers.	high	CMR_008,CMR_009	Validate against dataset-specific epithelial cluster markers.
Chief_epithelial	LIPF,PGA3,PGC	NA	CD3D,MS4A1,COL1A1,PECAM1	Subtype annotation within epithelial cells; requires epithelial background and chief-cell digestive enzyme markers.	high	CMR_010,CMR_011,CMR_012	Chief markers may be sparse in tumor datasets.
Intestinal_like_epithelial	REG4,TFF3	NA	CD3D,MS4A1,COL1A1,PECAM1	Subtype/state annotation within epithelial cells; requires epithelial background and intestinal-like markers.	high	CMR_013,CMR_014	May indicate intestinal metaplasia-like or tumor state depending on sample source.
Enteroendocrine_epithelial	CHGA,TPH1	NA	CD3D,MS4A1,COL1A1,PECAM1	Subtype annotation within epithelial cells; requires endocrine markers and epithelial context.	high	CMR_015,CMR_016	Rare population; check cell number before assigning cluster label.
T_cell	CD3D,CD3E,CD3G	CD8A	EPCAM,MS4A1,COL1A1,PECAM1	Requires pan-T markers CD3D/CD3E/CD3G; CD8A defines subtype/state only after pan-T identity is clear.	high	CMR_017,CMR_018,CMR_019,CMR_020	Separate cytotoxic T from NK by pan-T marker positivity.
Treg	FOXP3,IL2RA	NA	EPCAM,MS4A1,COL1A1,PECAM1	Subtype annotation within T cells; requires T-cell background plus FOXP3 and IL2RA/CD25 evidence.	high	CMR_021,CMR_022	Do not annotate broad clusters as Treg from IL2RA alone.
NK_cell	NKG7,KLRD1,GNLY	NA	CD3D,CD3E,CD3G,EPCAM,MS4A1	Requires cytotoxic/NK markers with absent or low pan-T markers; distinguish from cytotoxic T cells.	high	CMR_023,CMR_024,CMR_025	NKG7/GNLY can mark cytotoxic T cells, so pan-T negativity matters.
B_cell	MS4A1,CD79A,CD19	NA	EPCAM,CD3D,COL1A1,PECAM1	Requires B-cell markers; distinguish from plasma cells by low MZB1/IGKC/DERL3 dominance.	high	CMR_026,CMR_027,CMR_028	MS4A1 may be low in some B-cell states.
Plasma_cell	MZB1,IGKC,DERL3	JCHAIN	EPCAM,CD3D,COL1A1,PECAM1	Requires plasma/immunoglobulin program; check ambient RNA if immunoglobulin genes appear broadly.	high	CMR_029,CMR_030,CMR_031,CMR_032	Do not merge plasma cells into B cells without checking MZB1/IGKC/DERL3.
